city,team1,team2,toss_winner,toss_decision,venue,team1_last_5_scored,team1_last_5_conceded,team2_last_5_scored,team2_last_5_conceded,team1_win
Kolkata,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Eden Gardens,149.4,146.0,151.4,143.0,1
Bangalore,Royal Challengers Bangalore,Kochi Tuskers Kerala,Kochi Tuskers Kerala,bat,M Chinnaswamy Stadium,176.8,157.8,119.8,135.2,1
Chandigarh,Punjab Kings,Rising Pune Supergiant,Punjab Kings,bat,"Punjab Cricket Association Stadium, Mohali",154.4,172.4,139.0,154.4,0
Jaipur,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium,128.8,138.0,143.0,122.4,0
Hyderabad,Sunrisers Hyderabad,Rising Pune Supergiant,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",146.8,151.8,139.6,149.8,0
Chandigarh,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",139.2,167.0,152.6,130.2,1
Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sawai Mansingh Stadium,126.0,138.2,170.0,146.2,0
Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",153.8,125.6,150.6,152.2,1
Indore,Kochi Tuskers Kerala,Punjab Kings,Punjab Kings,field,Holkar Cricket Stadium,123.0,138.6,131.4,138.2,0
Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,165.2,141.2,127.4,133.8,1
Mumbai,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Wankhede Stadium,135.6,135.8,147.0,144.8,0
Dharamsala,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Himachal Pradesh Cricket Association Stadium,143.8,149.8,156.0,157.8,1
Indore,Kochi Tuskers Kerala,Rajasthan Royals,Kochi Tuskers Kerala,field,Holkar Cricket Stadium,143.8,149.0,133.0,146.6,1
Mumbai,Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dr DY Patil Sports Academy,138.8,148.0,148.2,155.0,0
Dharamsala,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,bat,Himachal Pradesh Cricket Association Stadium,150.6,146.2,154.0,127.0,1
Chennai,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",160.0,129.0,139.6,137.0,1
Mumbai,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,Dr DY Patil Sports Academy,135.0,139.4,115.6,128.6,0
Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Wankhede Stadium,141.8,143.8,133.4,147.4,0
Dharamsala,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,Himachal Pradesh Cricket Association Stadium,173.0,129.4,146.6,149.2,0
Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,142.0,142.4,157.4,128.0,1
Kolkata,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Eden Gardens,115.4,128.4,136.6,143.4,0
Mumbai,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,126.8,144.0,153.2,124.4,0
Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium,140.2,150.6,116.6,134.2,1
Chennai,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",136.2,154.4,134.2,150.8,1
Chennai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",165.8,147.2,143.0,153.6,1
Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",167.6,150.0,145.2,155.2,0
Kolkata,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Eden Gardens,118.2,132.6,152.8,168.0,0
Mumbai,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,Wankhede Stadium,143.2,150.6,130.0,134.4,0
Jaipur,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Sawai Mansingh Stadium,131.4,145.4,172.4,145.0,1
Bangalore,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,M Chinnaswamy Stadium,151.4,176.8,144.8,159.2,1
Visakhapatnam,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,156.4,138.6,154.8,141.4,0
Pune,Rising Pune Supergiant,Punjab Kings,Rising Pune Supergiant,bat,Subrata Roy Sahara Stadium,128.0,122.6,171.8,165.8,1
Jaipur,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Sawai Mansingh Stadium,140.2,147.6,125.4,129.8,1
Visakhapatnam,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,145.2,141.4,136.8,149.6,0
Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,158.6,157.8,136.0,141.6,0
Delhi,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,Feroz Shah Kotla,136.4,155.6,163.0,137.0,1
Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Wankhede Stadium,129.6,142.2,146.4,136.8,1
Chennai,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"MA Chidambaram Stadium, Chepauk",159.4,133.4,157.4,165.2,1
Chandigarh,Punjab Kings,Rising Pune Supergiant,Punjab Kings,field,"Punjab Cricket Association Stadium, Mohali",164.4,163.4,137.2,127.6,1
Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Eden Gardens,145.2,142.6,151.2,146.0,1
Pune,Rising Pune Supergiant,Chennai Super Kings,Chennai Super Kings,bat,Subrata Roy Sahara Stadium,132.8,123.6,165.6,139.4,1
Kolkata,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Eden Gardens,137.6,133.2,153.6,158.2,0
Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,bat,M Chinnaswamy Stadium,163.4,171.4,158.0,153.8,0
Mumbai,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Wankhede Stadium,139.4,146.8,129.4,142.0,0
Jaipur,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sawai Mansingh Stadium,170.2,154.4,145.6,142.4,1
Bangalore,Royal Challengers Bangalore,Rising Pune Supergiant,Rising Pune Supergiant,bat,M Chinnaswamy Stadium,153.6,182.0,136.8,127.0,1
Chandigarh,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,"Punjab Cricket Association Stadium, Mohali",134.0,160.4,134.6,130.4,0
Delhi,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Feroz Shah Kotla,116.4,125.2,157.8,156.8,1
Chennai,Chennai Super Kings,Rising Pune Supergiant,Rising Pune Supergiant,field,"MA Chidambaram Stadium, Chepauk",155.6,141.2,149.6,140.4,1
Chandigarh,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Punjab Cricket Association Stadium, Mohali",135.6,146.2,161.4,177.4,0
Delhi,Delhi Capitals,Rising Pune Supergiant,Delhi Capitals,field,Feroz Shah Kotla,120.6,122.6,154.0,153.0,0
Chennai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,"MA Chidambaram Stadium, Chepauk",166.0,148.4,171.4,161.6,1
